diameter,bending angle,velocityofbending,velocityofbooster,relative thickness,relative radius,extention of mandrel,friction of mandrel,firction of pressure die,firction of wiper die,forming temp,label in rad,label in deg
42.30897767,76.05199123,1.460421549,0.971083565,0.082255112,2.941467625,0.100138578,0.158171208,0.127939409,0.152170808,355.1087591,0.129484428,7.418911262
31.65228634,91.45819671,1.477367018,1.401793673,0.07879747,2.624592877,0.551930498,0.081705707,0.171684342,0.14898462,135.8000322,0.177145248,10.1496751
20.82907912,73.11736996,1.225123753,0.874575014,0.051930575,3.946439028,0.54176035,0.111258304,0.13273816,0.183272718,373.1968741,0.116014448,6.647138258
35.4484781,89.38047622,1.035748347,0.67960579,0.050761826,3.377694096,0.360619155,0.166640769,0.168944364,0.213179598,466.9597223,0.106024528,6.074758004
48.78305454,106.7644499,1.325648356,1.426529972,0.068717356,4.301124761,0.29495844,0.149007255,0.232975619,0.182034416,233.0488269,0.240475168,13.77821223
68.33666772,53.89314747,0.790030449,0.930349093,0.046852463,3.266714088,0.558488559,0.109467783,0.205123106,0.222094053,312.8104751,0.075314308,4.31519201
25.91377637,118.0946014,1.183695279,1.090430436,0.057879694,3.69890522,0.501836662,0.051849948,0.165858879,0.147056035,342.7102837,0.195080488,11.17728865
38.01612517,68.85351764,1.02975116,0.752857835,0.067859904,4.055571353,0.955477179,0.070902879,0.193075765,0.209948968,488.7227174,0.065639468,3.76086451
69.1523854,110.1811199,1.269402037,1.467882244,0.093733196,4.2249856,1.026857806,0.150293854,0.217512888,0.243295868,526.5721822,0.140564808,8.05377027
56.99653263,85.41725688,1.00266772,1.023159389,0.043347488,4.551810174,0.933813745,0.083194513,0.232074976,0.151381163,528.8824431,0.09587034,5.492965886
35.09617582,67.83833681,0.945782686,0.804935337,0.087304932,4.967310495,0.441456173,0.127988442,0.119000509,0.187838981,38.94146493,0.219266168,12.56302604
29.93028259,43.14526118,0.731686591,1.171590767,0.086382504,2.715486375,0.299617259,0.173746646,0.175752436,0.116229026,407.6419797,0.05783812,3.313880196
62.27969265,61.77205622,1.153396128,0.933657031,0.075885456,3.622753348,0.519844585,0.137273915,0.165523934,0.201211254,591.4038493,0.049646968,2.844561756
66.92940566,105.8130733,1.252875338,0.716965487,0.068592558,2.769887596,0.592875231,0.101634186,0.204766621,0.101392803,35.33247873,0.194313688,11.13335425
48.10593703,86.85973373,0.77690134,1.164563966,0.052868349,4.851884875,0.007480219,0.115200826,0.150089195,0.245310166,461.0469123,0.170701608,9.780481718
55.05698714,131.6192764,1.434394837,0.98452068,0.094646646,4.111270288,1.000902013,0.061624323,0.188076863,0.153622864,396.6645477,0.184792188,10.58781248
55.8415177,90.50580572,0.97855058,1.083023929,0.095392948,3.965148015,0.083182221,0.087387705,0.133889788,0.143006146,563.5646681,0.128251088,7.348246084
